Interval=	0.001 s
ExcelDateTime=	4.3735397277095275e+004	9/27/2019 9:32:04.741031
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
3.153	0.984375
3.154	0.984375
3.155	0.984375
3.156	0.984375
3.157	0.98375
3.158	0.98375
3.159	0.98375
3.16	0.98375
3.161	0.98375
3.162	0.983125
3.163	0.983125
3.164	0.983125
3.165	0.983125
3.166	0.9825
3.167	0.9825
3.168	0.9825
3.169	0.981875
3.17	0.981875
3.171	0.981875
3.172	0.98125
3.173	0.98125
3.174	0.98125
3.175	0.98125
3.176	0.980625
3.177	0.980625
3.178	0.980625
3.179	0.98125
3.18	0.98125
3.181	0.98125
3.182	0.98125
3.183	0.98125
3.184	0.98125
3.185	0.98125
3.186	0.98125
3.187	0.98125
3.188	0.98125
3.189	0.981875
3.19	0.981875
3.191	0.981875
3.192	0.9825
3.193	0.9825
3.194	0.983125
3.195	0.983125
3.196	0.98375
3.197	0.984375
3.198	0.984375
3.199	0.984375
3.2	0.985
3.201	0.985
3.202	0.985
3.203	0.985
3.204	0.985
3.205	0.985
3.206	0.985
3.207	0.985
3.208	0.984375
3.209	0.984375
3.21	0.98375
3.211	0.98375
3.212	0.98375
3.213	0.98375
3.214	0.98375
3.215	0.98375
3.216	0.98375
3.217	0.984375
3.218	0.984375
3.219	0.984375
3.22	0.985
3.221	0.985
3.222	0.985
3.223	0.985
3.224	0.985
3.225	0.985
3.226	0.984375
3.227	0.984375
3.228	0.984375
3.229	0.98375
3.23	0.98375
3.231	0.983125
3.232	0.983125
3.233	0.9825
3.234	0.981875
3.235	0.981875
3.236	0.98125
3.237	0.98125
3.238	0.980625
3.239	0.98
3.24	0.98
3.241	0.979375
3.242	0.979375
3.243	0.979375
3.244	0.97875
3.245	0.97875
3.246	0.97875
3.247	0.97875
3.248	0.979375
3.249	0.979375
3.25	0.979375
3.251	0.98
3.252	0.98
3.253	0.98
3.254	0.980625
3.255	0.98125
3.256	0.981875
3.257	0.9825
3.258	0.983125
3.259	0.983125
3.26	0.98375
3.261	0.984375
3.262	0.984375
3.263	0.985
3.264	0.985
3.265	0.984375
3.266	0.984375
3.267	0.984375
3.268	0.984375
3.269	0.983125
3.27	0.983125
3.271	0.9825
3.272	0.981875
3.273	0.98125
3.274	0.980625
3.275	0.98
3.276	0.97875
3.277	0.97875
3.278	0.9775
3.279	0.976875
3.28	0.97625
3.281	0.97625
3.282	0.975625
3.283	0.975
3.284	0.975
3.285	0.975
3.286	0.974375
3.287	0.974375
3.288	0.974375
3.289	0.974375
3.29	0.974375
3.291	0.974375
3.292	0.974375
3.293	0.975
3.294	0.975
3.295	0.975
3.296	0.975
3.297	0.975
3.298	0.975
3.299	0.975
3.3	0.975
3.301	0.975
3.302	0.975
3.303	0.975
3.304	0.975
3.305	0.975
3.306	0.975625
3.307	0.975625
3.308	0.975625
3.309	0.975625
3.31	0.975625
3.311	0.975625
3.312	0.975625
3.313	0.975625
3.314	0.975625
3.315	0.975625
3.316	0.975625
3.317	0.975625
3.318	0.975625
3.319	0.975
3.32	0.975
3.321	0.975
3.322	0.975
3.323	0.975
3.324	0.975
3.325	0.975
3.326	0.975
3.327	0.975
3.328	0.975
3.329	0.975
3.33	0.975625
3.331	0.975625
3.332	0.975625
3.333	0.975625
3.334	0.975625
3.335	0.975625
3.336	0.975
3.337	0.975
3.338	0.975
3.339	0.975
3.34	0.975
3.341	0.974375
3.342	0.974375
3.343	0.974375
3.344	0.97375
3.345	0.97375
3.346	0.97375
3.347	0.973125
3.348	0.973125
3.349	0.973125
3.35	0.973125
3.351	0.97375
3.352	0.97375
3.353	0.97375
3.354	0.97375
3.355	0.974375
3.356	0.974375
3.357	0.974375
3.358	0.975
3.359	0.975
3.36	0.975
3.361	0.975
3.362	0.975
3.363	0.975
3.364	0.975
3.365	0.974375
3.366	0.974375
3.367	0.974375
3.368	0.97375
3.369	0.97375
3.37	0.97375
3.371	0.97375
3.372	0.974375
3.373	0.974375
3.374	0.974375
3.375	0.975
3.376	0.975625
3.377	0.97625
3.378	0.976875
3.379	0.978125
3.38	0.97875
3.381	0.979375
3.382	0.98
3.383	0.98125
3.384	0.981875
3.385	0.9825
3.386	0.9825
3.387	0.983125
3.388	0.983125
3.389	0.983125
3.39	0.983125
3.391	0.983125
3.392	0.983125
3.393	0.983125
3.394	0.9825
3.395	0.9825
3.396	0.981875
3.397	0.981875
3.398	0.981875
3.399	0.98125
3.4	0.98125
3.401	0.98125
3.402	0.98125
3.403	0.98125
3.404	0.98125
3.405	0.981875
3.406	0.981875
3.407	0.981875
3.408	0.9825
3.409	0.9825
3.41	0.9825
3.411	0.983125
3.412	0.98375
3.413	0.98375
3.414	0.984375
3.415	0.985
3.416	0.985
3.417	0.985625
3.418	0.98625
3.419	0.98625
3.42	0.986875
3.421	0.986875
3.422	0.9875
3.423	0.9875
3.424	0.988125
3.425	0.988125
3.426	0.988125
3.427	0.98875
3.428	0.98875
3.429	0.98875
3.43	0.98875
3.431	0.989375
3.432	0.989375
3.433	0.98875
3.434	0.98875
3.435	0.98875
3.436	0.98875
3.437	0.98875
3.438	0.98875
3.439	0.988125
3.44	0.988125
3.441	0.9875
3.442	0.986875
3.443	0.98625
3.444	0.98625
3.445	0.985625
3.446	0.985
3.447	0.984375
3.448	0.98375
3.449	0.983125
3.45	0.983125
3.451	0.981875
3.452	0.981875
3.453	0.98125
3.454	0.980625
3.455	0.980625
3.456	0.980625
3.457	0.98
3.458	0.98
3.459	0.98
3.46	0.98
3.461	0.979375
3.462	0.98
3.463	0.98
3.464	0.98
3.465	0.98
3.466	0.98
3.467	0.98
3.468	0.98
3.469	0.980625
3.47	0.980625
3.471	0.980625
3.472	0.98125
3.473	0.98125
3.474	0.98125
3.475	0.981875
3.476	0.981875
3.477	0.981875
3.478	0.981875
3.479	0.981875
3.48	0.981875
3.481	0.98125
3.482	0.98125
