Interval=	0.001 s
ExcelDateTime=	4.3735398023912865e+004	9/27/2019 9:33:09.266072
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
2.069	1.588125
2.07	1.5875
2.071	1.5875
2.072	1.586875
2.073	1.58625
2.074	1.58625
2.075	1.585
2.076	1.584375
2.077	1.584375
2.078	1.58375
2.079	1.583125
2.08	1.5825
2.081	1.581875
2.082	1.58125
2.083	1.580625
2.084	1.58
2.085	1.579375
2.086	1.57875
2.087	1.57875
2.088	1.578125
2.089	1.5775
2.09	1.576875
2.091	1.576875
2.092	1.57625
2.093	1.57625
2.094	1.57625
2.095	1.57625
2.096	1.57625
2.097	1.57625
2.098	1.57625
2.099	1.57625
2.1	1.57625
2.101	1.57625
2.102	1.576875
2.103	1.576875
2.104	1.576875
2.105	1.576875
2.106	1.576875
2.107	1.5775
2.108	1.5775
2.109	1.5775
2.11	1.578125
2.111	1.578125
2.112	1.578125
2.113	1.57875
2.114	1.57875
2.115	1.579375
2.116	1.579375
2.117	1.58
2.118	1.580625
2.119	1.58125
2.12	1.58125
2.121	1.581875
2.122	1.583125
2.123	1.58375
2.124	1.58375
2.125	1.584375
2.126	1.585
2.127	1.585625
2.128	1.58625
2.129	1.58625
2.13	1.586875
2.131	1.5875
2.132	1.5875
2.133	1.588125
2.134	1.588125
2.135	1.589375
2.136	1.589375
2.137	1.59
2.138	1.590625
2.139	1.59125
2.14	1.591875
2.141	1.5925
2.142	1.59375
2.143	1.594375
2.144	1.595
2.145	1.595625
2.146	1.59625
2.147	1.596875
2.148	1.598125
2.149	1.598125
2.15	1.599375
2.151	1.599375
2.152	1.6
2.153	1.600625
2.154	1.600625
2.155	1.60125
2.156	1.60125
2.157	1.60125
2.158	1.601875
2.159	1.601875
2.16	1.601875
2.161	1.601875
2.162	1.601875
2.163	1.601875
2.164	1.601875
2.165	1.601875
2.166	1.60125
2.167	1.60125
2.168	1.60125
2.169	1.600625
2.17	1.600625
2.171	1.6
2.172	1.6
2.173	1.6
2.174	1.599375
2.175	1.599375
2.176	1.59875
2.177	1.598125
2.178	1.598125
2.179	1.598125
2.18	1.596875
2.181	1.596875
2.182	1.59625
2.183	1.595625
2.184	1.595
2.185	1.59375
2.186	1.59375
2.187	1.5925
2.188	1.591875
2.189	1.59125
2.19	1.590625
2.191	1.590625
2.192	1.59
2.193	1.589375
2.194	1.589375
2.195	1.58875
2.196	1.58875
2.197	1.58875
2.198	1.58875
2.199	1.589375
2.2	1.589375
2.201	1.59
2.202	1.59
2.203	1.59
2.204	1.59125
2.205	1.59125
2.206	1.591875
2.207	1.591875
2.208	1.5925
2.209	1.593125
2.21	1.593125
2.211	1.59375
2.212	1.59375
2.213	1.59375
2.214	1.594375
2.215	1.594375
2.216	1.595
2.217	1.595
2.218	1.595
2.219	1.595
2.22	1.595
2.221	1.595
2.222	1.595
2.223	1.595625
2.224	1.595
2.225	1.595
2.226	1.595
2.227	1.595
2.228	1.595
2.229	1.595
2.23	1.595
2.231	1.594375
2.232	1.594375
2.233	1.59375
2.234	1.593125
2.235	1.593125
2.236	1.5925
2.237	1.59125
2.238	1.59125
2.239	1.590625
2.24	1.59
2.241	1.59
2.242	1.58875
2.243	1.58875
2.244	1.58875
2.245	1.588125
2.246	1.588125
2.247	1.588125
2.248	1.5875
2.249	1.5875
2.25	1.588125
2.251	1.588125
2.252	1.588125
2.253	1.588125
2.254	1.588125
2.255	1.588125
2.256	1.58875
2.257	1.58875
2.258	1.58875
2.259	1.58875
2.26	1.589375
2.261	1.589375
2.262	1.589375
2.263	1.589375
2.264	1.589375
2.265	1.589375
2.266	1.589375
2.267	1.58875
2.268	1.58875
2.269	1.58875
2.27	1.58875
2.271	1.58875
2.272	1.588125
2.273	1.588125
2.274	1.588125
2.275	1.588125
2.276	1.588125
2.277	1.588125
2.278	1.58875
2.279	1.58875
2.28	1.58875
2.281	1.58875
2.282	1.589375
2.283	1.589375
2.284	1.589375
2.285	1.59
2.286	1.59
2.287	1.59
2.288	1.59
2.289	1.59
2.29	1.59
2.291	1.59
2.292	1.589375
2.293	1.589375
2.294	1.589375
2.295	1.58875
2.296	1.58875
2.297	1.588125
2.298	1.5875
2.299	1.5875
2.3	1.586875
2.301	1.586875
2.302	1.58625
2.303	1.585625
2.304	1.585625
2.305	1.585
2.306	1.584375
2.307	1.584375
2.308	1.58375
2.309	1.58375
2.31	1.58375
2.311	1.583125
2.312	1.583125
2.313	1.583125
2.314	1.5825
2.315	1.5825
2.316	1.581875
2.317	1.581875
2.318	1.58125
2.319	1.58125
2.32	1.580625
2.321	1.580625
2.322	1.580625
2.323	1.58
2.324	1.58
2.325	1.58
2.326	1.58
2.327	1.58
2.328	1.58
2.329	1.58
2.33	1.580625
2.331	1.580625
2.332	1.580625
2.333	1.580625
2.334	1.58125
2.335	1.58125
2.336	1.58125
2.337	1.581875
2.338	1.581875
2.339	1.5825
2.34	1.5825
2.341	1.583125
2.342	1.583125
2.343	1.58375
2.344	1.584375
2.345	1.585
2.346	1.585
2.347	1.585625
2.348	1.585625
2.349	1.58625
2.35	1.586875
2.351	1.586875
2.352	1.5875
2.353	1.5875
2.354	1.5875
2.355	1.586875
2.356	1.586875
2.357	1.586875
2.358	1.585625
2.359	1.585
2.36	1.584375
2.361	1.583125
2.362	1.58125
2.363	1.58
2.364	1.578125
2.365	1.575625
2.366	1.57375
2.367	1.57125
2.368	1.56875
2.369	1.56625
2.37	1.563125
2.371	1.560625
2.372	1.558125
2.373	1.555625
2.374	1.5525
2.375	1.55
2.376	1.548125
2.377	1.545625
2.378	1.543125
2.379	1.541875
2.38	1.539375
2.381	1.538125
2.382	1.53625
2.383	1.535625
2.384	1.53375
2.385	1.533125
2.386	1.53125
2.387	1.530625
2.388	1.529375
2.389	1.52875
2.39	1.528125
2.391	1.526875
2.392	1.526875
2.393	1.525625
2.394	1.525625
2.395	1.525
2.396	1.524375
2.397	1.524375
2.398	1.52375
2.399	1.523125
2.4	1.5225
2.401	1.5225
2.402	1.521875
2.403	1.52125
2.404	1.52125
2.405	1.52
2.406	1.52
2.407	1.51875
2.408	1.518125
2.409	1.5175
2.41	1.51625
2.411	1.514375
2.412	1.513125
