Interval=	0.001 s
ExcelDateTime=	4.1949660795945041e+004	11/6/2014 15:51:32.769652
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
1.231	-2.370	0.000
1.232	-2.368	0.000
1.233	-2.365	0.000
1.234	-2.364	0.000
1.235	-2.364	0.000
1.236	-2.364	0.000
1.237	-2.366	0.000
1.238	-2.369	0.000
1.239	-2.373	0.000
1.24	-2.376	0.000
1.241	-2.378	0.000
1.242	-2.380	0.000
1.243	-2.381	0.000
1.244	-2.380	0.000
1.245	-2.378	0.000
1.246	-2.376	0.000
1.247	-2.372	0.000
1.248	-2.369	0.000
1.249	-2.366	0.000
1.25	-2.363	0.000
1.251	-2.362	0.000
1.252	-2.362	0.000
1.253	-2.363	0.000
1.254	-2.366	0.000
1.255	-2.368	0.000
1.256	-2.372	0.000
1.257	-2.375	0.000
1.258	-2.377	0.000
1.259	-2.379	0.000
1.26	-2.379	0.000
1.261	-2.379	0.000
1.262	-2.377	0.000
1.263	-2.375	0.000
1.264	-2.372	0.000
1.265	-2.369	0.000
1.266	-2.366	0.000
1.267	-2.364	0.000
1.268	-2.363	0.000
1.269	-2.364	0.000
1.27	-2.364	0.000
1.271	-2.367	0.000
1.272	-2.369	0.000
1.273	-2.372	0.000
1.274	-2.374	0.000
1.275	-2.376	0.000
1.276	-2.376	0.000
1.277	-2.376	0.000
1.278	-2.374	0.000
1.279	-2.372	0.000
1.28	-2.369	0.000
1.281	-2.366	0.000
1.282	-2.363	0.000
1.283	-2.360	0.000
1.284	-2.359	0.000
1.285	-2.359	0.000
1.286	-2.359	0.000
1.287	-2.361	0.000
1.288	-2.364	0.000
1.289	-2.368	0.000
1.29	-2.371	0.000
1.291	-2.374	0.000
1.292	-2.376	0.000
1.293	-2.377	0.000
1.294	-2.376	0.000
1.295	-2.376	0.000
1.296	-2.373	0.000
1.297	-2.370	0.000
1.298	-2.367	0.000
1.299	-2.364	0.000
1.3	-2.362	0.000
