Interval=	0.001 s
ExcelDateTime=	4.1949665459635347e+004	11/6/2014 15:58:15.712494
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.609	-2.412	-0.001
0.61	-2.408	-0.001
0.611	-2.405	-0.001
0.612	-2.404	-0.001
0.613	-2.405	-0.001
0.614	-2.408	-0.001
0.615	-2.413	-0.001
0.616	-2.418	-0.001
0.617	-2.422	-0.001
0.618	-2.428	-0.001
0.619	-2.431	-0.001
0.62	-2.433	-0.001
0.621	-2.433	-0.001
0.622	-2.431	-0.001
0.623	-2.427	-0.001
0.624	-2.422	-0.001
0.625	-2.417	-0.000
0.626	-2.412	-0.000
0.627	-2.408	-0.000
0.628	-2.405	-0.000
0.629	-2.404	-0.000
0.63	-2.406	-0.000
0.631	-2.409	-0.001
0.632	-2.413	-0.001
0.633	-2.418	-0.001
0.634	-2.423	-0.001
0.635	-2.428	-0.001
0.636	-2.431	-0.001
0.637	-2.432	-0.001
0.638	-2.431	-0.001
0.639	-2.429	-0.001
0.64	-2.425	-0.001
0.641	-2.420	-0.001
0.642	-2.415	-0.001
0.643	-2.411	-0.001
0.644	-2.408	-0.001
0.645	-2.406	-0.001
0.646	-2.406	-0.001
0.647	-2.408	-0.000
0.648	-2.411	-0.000
0.649	-2.416	-0.000
0.65	-2.422	-0.000
0.651	-2.427	-0.000
0.652	-2.431	-0.001
0.653	-2.434	-0.001
0.654	-2.434	-0.001
0.655	-2.433	-0.001
0.656	-2.431	-0.001
0.657	-2.427	-0.001
0.658	-2.422	-0.001
0.659	-2.417	-0.001
0.66	-2.413	-0.001
0.661	-2.409	-0.001
0.662	-2.408	-0.001
0.663	-2.409	-0.001
0.664	-2.411	-0.001
0.665	-2.414	-0.001
0.666	-2.419	-0.001
0.667	-2.424	-0.001
0.668	-2.429	-0.001
0.669	-2.431	-0.000
0.67	-2.434	-0.000
0.671	-2.434	-0.000
0.672	-2.432	-0.000
0.673	-2.429	-0.000
0.674	-2.424	-0.000
0.675	-2.420	-0.001
0.676	-2.415	-0.001
0.677	-2.412	-0.001
0.678	-2.410	-0.001
0.679	-2.409	-0.001
0.68	-2.411	-0.001
0.681	-2.414	-0.001
0.682	-2.418	-0.001
0.683	-2.423	-0.001
0.684	-2.428	-0.001
0.685	-2.432	-0.001
0.686	-2.434	-0.001
0.687	-2.436	-0.001
0.688	-2.435	-0.001
0.689	-2.433	-0.001
0.69	-2.429	-0.001
0.691	-2.424	-0.000
0.692	-2.419	-0.000
0.693	-2.415	-0.000
0.694	-2.412	-0.000
0.695	-2.410	-0.000
0.696	-2.410	-0.000
0.697	-2.412	-0.001
0.698	-2.415	-0.001
0.699	-2.419	-0.001
0.7	-2.424	-0.001
0.701	-2.429	-0.001
0.702	-2.433	-0.001
0.703	-2.435	-0.001
0.704	-2.436	-0.001
0.705	-2.434	-0.001
0.706	-2.432	-0.001
0.707	-2.428	-0.001
0.708	-2.424	-0.001
0.709	-2.419	-0.001
0.71	-2.415	-0.001
0.711	-2.413	-0.001
0.712	-2.411	-0.001
0.713	-2.412	-0.000
0.714	-2.414	-0.000
0.715	-2.418	-0.000
0.716	-2.422	-0.000
0.717	-2.427	-0.000
0.718	-2.431	-0.000
0.719	-2.434	-0.001
0.72	-2.436	-0.001
0.721	-2.436	-0.001
0.722	-2.434	-0.001
0.723	-2.431	-0.001
0.724	-2.426	-0.001
0.725	-2.422	-0.001
0.726	-2.417	-0.001
0.727	-2.413	-0.001
0.728	-2.411	-0.001
0.729	-2.410	-0.001
0.73	-2.411	-0.001
0.731	-2.414	-0.001
0.732	-2.417	-0.001
0.733	-2.421	-0.001
0.734	-2.426	-0.001
0.735	-2.429	-0.000
0.736	-2.431	-0.000
0.737	-2.432	-0.000
0.738	-2.431	-0.000
0.739	-2.429	-0.000
0.74	-2.426	-0.000
0.741	-2.421	-0.001
0.742	-2.417	-0.001
0.743	-2.413	-0.001
0.744	-2.410	-0.001
0.745	-2.408	-0.001
0.746	-2.408	-0.001
0.747	-2.411	-0.001
0.748	-2.414	-0.001
0.749	-2.418	-0.001
