Frequency(Hz)	Channel 1(V)	
322.876	0.00145455	
323.181	0.00144579	
323.486	0.0014409	
323.792	0.00144011	
324.097	0.00143955	
324.402	0.00143671	
324.707	0.0014351	
325.012	0.00143346	
325.317	0.00143165	
325.623	0.00143185	
325.928	0.00142822	
326.233	0.00142941	
326.538	0.00142856	
326.843	0.00142449	
327.148	0.00142089	
327.454	0.00141616	
327.759	0.00142812	
328.064	0.00142491	
328.369	0.00142952	
328.674	0.00142419	
328.979	0.00141877	
329.285	0.00141475	
329.59	0.00141357	
329.895	0.00141576	
330.2	0.00141354	
330.505	0.00141041	
330.811	0.00140951	
331.116	0.00140836	
331.421	0.00140749	
331.726	0.00140656	
332.031	0.00140516	
332.336	0.0014049	
332.642	0.00140341	
332.947	0.00140577	
333.252	0.00140573	
333.557	0.00138858	
333.862	0.0013922	
334.167	0.00139237	
334.473	0.00139256	
334.778	0.00139086	
335.083	0.00138968	
335.388	0.00138878	
335.693	0.00138804	
335.999	0.0013873	
336.304	0.0013854	
336.609	0.00138484	
336.914	0.00138398	
337.219	0.00138389	
337.524	0.00137915	
337.83	0.0013793	
338.135	0.00138069	
338.44	0.00137624	
338.745	0.00136928	
339.05	0.00137879	
339.355	0.00137666	
339.661	0.00137439	
339.966	0.00136934	
340.271	0.00136868	
340.576	0.00136994	
340.881	0.001368	
341.187	0.0013661	
341.492	0.00136538	
341.797	0.00136516	
342.102	0.00136314	
342.407	0.00136155	
342.712	0.00136093	
343.018	0.00136269	
343.323	0.00136149	
343.628	0.0013678	
343.933	0.00135446	
344.238	0.00134604	
344.543	0.00133991	
344.849	0.00134672	
345.154	0.00134696	
345.459	0.00134683	
345.764	0.00134398	
346.069	0.00134335	
346.375	0.00134267	
346.68	0.00134195	
346.985	0.0013414	
347.29	0.00134059	
347.595	0.00133806	
347.9	0.00133759	
348.206	0.00133649	
348.511	0.00133257	
348.816	0.00132902	
349.121	0.00131172	
349.426	0.00136146	
349.731	0.00134486	
350.037	0.00133763	
350.342	0.00133039	
350.647	0.00133135	
350.952	0.00133047	
351.257	0.00132738	
351.563	0.00132684	
351.868	0.00132557	
352.173	0.00132591	
352.478	0.0013237	
352.783	0.00132257	
353.088	0.00132095	
353.394	0.00131982	
353.699	0.00131982	
354.004	0.00132016	
354.309	0.00131965	
354.614	0.00130004	
354.919	0.00131993	
355.225	0.0013029	
355.53	0.00130974	
355.835	0.00130967	
356.14	0.00130756	
356.445	0.00130563	
356.75	0.00130517	
357.056	0.00130512	
357.361	0.00130297	
357.666	0.00130288	
357.971	0.00130085	
358.276	0.00130185	
358.582	0.00129858	
358.887	0.00129877	
359.192	0.00129929	
359.497	0.00129377	
359.802	0.0012973	
360.107	0.00136844	
360.413	0.00128232	
360.718	0.00128724	
361.023	0.00128807	
361.328	0.00128769	
361.633	0.00128766	
361.938	0.00128505	
362.244	0.0012849	
362.549	0.00128403	
362.854	0.00128378	
363.159	0.00128241	
363.464	0.00128125	
363.77	0.00128132	
364.075	0.00127883	
364.38	0.00127861	
364.685	0.00127706	
364.99	0.00127045	
365.295	0.00126289	
365.601	0.00128491	
365.906	0.00127985	
366.211	0.00127847	
366.516	0.00127459	
366.821	0.00127123	
367.126	0.0012709	
367.432	0.00127022	
367.737	0.0012696	
368.042	0.00126826	
368.347	0.00126639	
368.652	0.00126751	
368.958	0.00126624	
369.263	0.00126466	
369.568	0.00126439	
369.873	0.00126635	
370.178	0.00126458	
370.483	0.00127277	
370.789	0.00128738	
371.094	0.00124643	
371.399	0.00123731	
371.704	0.0012454	
372.009	0.001246	
372.314	0.00124803	
372.62	0.00124682	
372.925	0.00124438	
373.23	0.00124483	
373.535	0.00124468	
373.84	0.00124395	
374.146	0.00124364	
374.451	0.00124255	
374.756	0.00123479	
375.061	0.0012413	
375.366	0.00123918	
375.671	0.00123761	
375.977	0.00124117	
376.282	0.00124699	
376.587	0.00124256	
376.892	0.00123709	
377.197	0.00123657	
377.502	0.00123386	
377.808	0.00123155	
378.113	0.00123188	
378.418	0.00123124	
378.723	0.00123128	
379.028	0.00122869	
